GeoFips,GeoName,LineCode,Description,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1
33000,New Hampshire,2,Chain-type quantity indexes for real GDP,108.352,108.636,110.755,110.251,111.621,111.948,112.594,111.962,114.297,114.686,115.318,115.877,114.187
33000,New Hampshire,3,Current-dollar GDP (millions of current dollars),79606.3,80045.7,81959.8,81988.9,83378.6,84268.9,85132.6,85075.4,87243.8,88147.3,89152.2,89836.5,89128.3
34000,New Jersey,1,Real GDP (millions of chained 2012 dollars),539277.3,542817.8,546329.2,545696,552188.9,554721.6,557687.9,558422,561363,562347.5,565530,566557.6,558650.7
34000,New Jersey,2,Chain-type quantity indexes for real GDP,103.758,104.439,105.115,104.993,106.242,106.729,107.3,107.441,108.007,108.197,108.809,109.007,107.485
34000,New Jersey,3,Current-dollar GDP (millions of current dollars),586700,592552.8,599786.7,602258.5,612202.1,620066.1,625747.2,629995.9,636067.6,641902.2,648984,652411.7,647176.6
35000,New Mexico,1,Real GDP (millions of chained 2012 dollars),90843.4,90979.1,91700.4,91851.6,92004.7,93239.1,94205.5,94969.2,95932.8,96903,97527.2,98004.9,97236.3
35000,New Mexico,2,Chain-type quantity indexes for real GDP,103.701,103.856,104.679,104.852,105.026,106.435,107.539,108.41,109.51,110.618,111.33,111.876,110.998
35000,New Mexico,3,Current-dollar GDP (millions of current dollars),93027.8,93373.3,94555.5,96111.9,97488.9,99742.1,101585.8,102370.5,102579.1,103814,104349.4,105263.5,103463.9
36000,New York,1,Real GDP (millions of chained 2012 dollars),1416664.2,1409237.8,1417256.2,1432609.8,1428720.5,1437036,1443137.3,1433650.9,1454849.6,1460849.2,1462686.7,1467849.3,1436703.2
36000,New York,2,Chain-type quantity indexes for real GDP,107.124,106.563,107.169,108.33,108.036,108.665,109.126,108.409,110.012,110.466,110.604,110.995,108.64
36000,New York,3,Current-dollar GDP (millions of current dollars),1587759.4,1586852.6,1605534.5,1636387.8,1643465.7,1668085.1,1683970,1679944,1707519.5,1727702.6,1740745.3,1751674.2,1729574.9
37000,North Carolina,1,Real GDP (millions of chained 2012 dollars),482586.2,483343.1,485699.2,490365.9,491603.4,497554.6,499047.3,501119.8,505181.1,507133.6,509607.7,512578.2,505898.2
37000,North Carolina,2,Chain-type quantity indexes for real GDP,109.786,109.958,110.494,111.556,111.837,113.191,113.531,114.002,114.926,115.37,115.933,116.609,115.089
37000,North Carolina,3,Current-dollar GDP (millions of current dollars),531990.6,533935.3,539707.7,547972.7,551999.7,563370.8,566922.7,572469,578700.3,585050.2,590710.5,596382.9,592519.8
38000,North Dakota,1,Real GDP (millions of chained 2012 dollars),50449.6,51382.7,50999.4,51227.3,51705.5,52742,53512,53532.5,53822.5,54069.5,54222.3,54283.9,53926.7
38000,North Dakota,2,Chain-type quantity indexes for real GDP,98.256,100.073,99.327,99.771,100.702,102.721,104.22,104.26,104.825,105.306,105.604,105.724,105.028
38000,North Dakota,3,Current-dollar GDP (millions of current dollars),51643.6,52623.2,52326.4,53295.9,54380.5,55963,57018,56967.6,56609.1,57031.5,57106.4,57400.1,56241.2
39000,Ohio,1,Real GDP (millions of chained 2012 dollars),590154.7,593026.4,596350.9,597728.8,599696.4,603655.5,609506.3,608720,612264.6,614178.9,616743.2,619214.2,610491.6
39000,Ohio,2,Chain-type quantity indexes for real GDP,109.122,109.653,110.268,110.523,110.887,111.619,112.701,112.555,113.211,113.565,114.039,114.496,112.883
39000,Ohio,3,Current-dollar GDP (millions of current dollars),635926.6,641110.9,648748.5,655517.9,662321,673078.1,682922.3,685299.4,689542.4,696087.8,701438.5,706764,699087.9
40000,Oklahoma,1,Real GDP (millions of chained 2012 dollars),189410.4,192224.7,192187.6,192354.1,194788.7,196127.1,196680.2,198502.4,199759.8,201099.4,202058.6,202338.1,200280.8
40000,Oklahoma,2,Chain-type quantity indexes for real GDP,109.18,110.803,110.781,110.877,112.281,113.052,113.371,114.421,115.146,115.918,116.471,116.632,115.446
40000,Oklahoma,3,Current-dollar GDP (millions of current dollars),184539.9,187677.5,188710.9,192544.2,198108.1,201870.7,204383.7,205854,204458.3,206139.3,206254,207380.7,202133.9
41000,Oregon,1,Real GDP (millions of chained 2012 dollars),205192.8,207683.8,209216.4,212410.1,213964.1,215435.5,217696.1,219150.3,220712.6,221829.1,222822.3,224173.4,221668.3
41000,Oregon,2,Chain-type quantity indexes for real GDP,117.594,119.021,119.9,121.73,122.62,123.464,124.759,125.593,126.488,127.128,127.697,128.471,127.036
41000,Oregon,3,Current-dollar GDP (millions of current dollars),221533.8,225055.1,227717.5,232169.1,234832.4,238125.3,241630,244543.6,247561.7,250401.9,253036.4,255417.8,253989.5
42000,Pennsylvania,1,Real GDP (millions of chained 2012 dollars),688008.8,690333.8,697147.4,699212.5,703374.6,710730.2,716278.8,716905.1,722835,725884.6,729745.6,733606.8,723046.2
42000,Pennsylvania,2,Chain-type quantity indexes for real GDP,107.281,107.643,108.706,109.028,109.677,110.823,111.689,111.786,112.711,113.186,113.789,114.391,112.744
42000,Pennsylvania,3,Current-dollar GDP (millions of current dollars),733199.3,737782.1,749147.7,757031.5,766321.6,781034.6,790711.2,794603.7,801909.3,810326.2,817216,824602.8,815081
44000,Rhode Island,1,Real GDP (millions of chained 2012 dollars),52546.1,52930.4,53124.9,53356,53383.5,53723.5,53312.5,54080,54711.6,54911.3,55133.6,55433.7,54547.3
44000,Rhode Island,2,Chain-type quantity indexes for real GDP,101.751,102.495,102.871,103.319,103.372,104.031,103.235,104.721,105.944,106.331,106.761,107.342,105.626
44000,Rhode Island,3,Current-dollar GDP (millions of current dollars),57614.3,58258.4,58781.2,59371.4,59733.7,60591,60413.2,61612.5,62578.2,63241.9,63903.5,64440.8,63865.3
45000,South Carolina,1,Real GDP (millions of chained 2012 dollars),200292.6,201189,202138.4,203870.2,204382.8,206270,208104.7,210053,211884.5,212838.3,213872.3,215209.7,212591.2
45000,South Carolina,2,Chain-type quantity indexes for real GDP,114.208,114.719,115.261,116.248,116.541,117.617,118.663,119.774,120.818,121.362,121.952,122.714,121.221
45000,South Carolina,3,Current-dollar GDP (millions of current dollars),220045.8,221655.5,223873.2,226869.8,228541.1,232473.9,235528.2,239176.3,242483.7,245082.8,247710.6,249958.4,248290.6
46000,South Dakota,1,Real GDP (millions of chained 2012 dollars),46149.3,45742.7,45550.3,45033.4,46198.2,46318.7,46747.8,46697.3,46514.2,46706.9,46915.2,47105.2,46842.6
46000,South Dakota,2,Chain-type quantity indexes for real GDP,106.226,105.29,104.847,103.657,106.338,106.615,107.603,107.487,107.065,107.509,107.988,108.426,107.821
46000,South Dakota,3,Current-dollar GDP (millions of current dollars),49901.6,49724.4,49747.1,49581.7,51214.4,51831.7,52381.7,52631.9,52429.9,53044.1,53692.3,54056.7,54088.8
47000,Tennessee,1,Real GDP (millions of chained 2012 dollars),311661.4,311996.7,313785.9,317905,318809.8,322992.1,326922.6,325975.1,328595.3,329670.3,331633.5,333308.7,328009.3
47000,Tennessee,2,Chain-type quantity indexes for real GDP,109.848,109.966,110.596,112.048,112.367,113.841,115.226,114.893,115.816,116.195,116.887,117.477,115.609
47000,Tennessee,3,Current-dollar GDP (millions of current dollars),341635.5,342837.4,346533.1,352793.2,355118.8,362874.1,368694.3,369732.5,374250.5,378285.5,382274.8,385740.9,381898
48000,Texas,1,Real GDP (millions of chained 2012 dollars),1621887,1638658.4,1655672.3,1668839.5,1684726,1705457.8,1722114.8,1738757.5,1761259.1,1781681.3,1799059,1812110,1800689.1
48000,Texas,2,Chain-type quantity indexes for real GDP,114.915,116.103,117.309,118.242,119.367,120.836,122.016,123.196,124.79,126.237,127.468,128.393,127.584
48000,Texas,3,Current-dollar GDP (millions of current dollars),1625794.9,1647250.3,1675583.6,1713898.4,1751026.7,1792912,1823659.1,1842447.1,1852143.4,1881553.3,1896062.9,1918065,1891360.4
49000,Utah,1,Real GDP (millions of chained 2012 dollars),150474.1,151865.3,154379.6,155797.5,157159.7,158407.4,159487,160144.7,162884.3,164109.1,165421.2,166818.5,165506.6
49000,Utah,2,Chain-type quantity indexes for real GDP,116.899,117.98,119.934,121.035,122.093,123.063,123.901,124.412,126.541,127.492,128.511,129.597,128.578
49000,Utah,3,Current-dollar GDP (millions of current dollars),163166.5,165245.6,168887.1,171719.2,174343.7,177406.3,179586.4,181214,184766.8,187415.7,189809.5,192013.4,191418.9
50000,Vermont,1,Real GDP (millions of chained 2012 dollars),29402.1,29283.3,29442.7,29498.3,29536.4,29777.2,29801.3,29886.2,30300.2,30400.2,30533.6,30704.9,30223.3
50000,Vermont,2,Chain-type quantity indexes for real GDP,101.782,101.371,101.922,102.115,102.247,103.08,103.164,103.458,104.891,105.237,105.699,106.292,104.625
50000,Vermont,3,Current-dollar GDP (millions of current dollars),32033,31989,32292.3,32525.1,32726.3,33236.2,33393,33669.6,34284.2,34611.7,34973.5,35271,34926.8
51000,Virginia,1,Real GDP (millions of chained 2012 dollars),460873.2,463106.8,466147,469044.4,472475.4,475405.4,479769.9,480372.2,482731.9,484997.8,486891.7,489372.3,484652.6
51000,Virginia,2,Chain-type quantity indexes for real GDP,103.579,104.081,104.764,105.415,106.186,106.845,107.826,107.961,108.491,109.001,109.426,109.984,108.923
51000,Virginia,3,Current-dollar GDP (millions of current dollars),502533.7,506068.5,511746.7,517142.1,523334.2,530306.4,537213.5,540715.9,546006.8,551847.7,557143.9,561845.7,560005.7
53000,Washington,1,Real GDP (millions of chained 2012 dollars),473286.8,480097.5,486726.7,494982.6,501491.3,509560.7,517035.2,518602.4,525027.9,529115.2,533111.1,537642.2,530815.6
53000,Washington,2,Chain-type quantity indexes for real GDP,118.067,119.766,121.42,123.479,125.103,127.116,128.98,129.371,130.974,131.994,132.991,134.121,132.418
53000,Washington,3,Current-dollar GDP (millions of current dollars),510303.7,519540.5,528869.5,540544.8,549577.6,562939,573225.9,577581.4,587757.8,596412.1,603772.4,610488.3,606919.2
54000,West Virginia,1,Real GDP (millions of chained 2012 dollars),69879.2,69614.3,70040.5,70081.7,70052.4,71267.8,72315.3,72290.2,71890.4,72201.6,72289.7,72264.2,71340.6
54000,West Virginia,2,Chain-type quantity indexes for real GDP,100.692,100.31,100.924,100.984,100.941,102.693,104.202,104.166,103.59,104.038,104.165,104.129,102.798
54000,West Virginia,3,Current-dollar GDP (millions of current dollars),72739,72445.4,73174.9,74292.4,75115,77103.5,78765.6,78766.2,77725.2,78255.8,78270.1,78506.8,76831
55000,Wisconsin,1,Real GDP (millions of chained 2012 dollars),292607.1,292985.1,296420.9,296615.4,299968.1,300728.4,302376.1,303418.3,304263.2,305093.9,306257,307883.7,303986.8
55000,Wisconsin,2,Chain-type quantity indexes for real GDP,106.657,106.795,108.047,108.118,109.34,109.617,110.218,110.598,110.906,111.209,111.632,112.225,110.805
55000,Wisconsin,3,Current-dollar GDP (millions of current dollars),318062.7,319134.9,324423,326330.4,331469.2,334960,337893.6,340853.5,342613.2,345867,348822,351922.2,349294.8
56000,Wyoming,1,Real GDP (millions of chained 2012 dollars),37450.7,38308.8,38090.2,38138.7,37749.5,37911,38083.7,38415.9,38939.6,39341.7,39472.1,39472.9,39108
56000,Wyoming,2,Chain-type quantity indexes for real GDP,97.447,99.68,99.111,99.238,98.225,98.645,99.094,99.959,101.322,102.368,102.707,102.709,101.76
56000,Wyoming,3,Current-dollar GDP (millions of current dollars),36797.4,37494.8,37316.9,38205.3,38430.9,38957.1,39473.3,39612.6,39392.8,39787.6,39610.5,39793.9,38482.8
91000,New England,1,Real GDP (millions of chained 2012 dollars),936729,944584.8,952092.9,955346.6,960853.5,965986.8,971721.2,971908.4,983349.4,986526.9,991703.7,996132.2,982957.3
91000,New England,2,Chain-type quantity indexes for real GDP,105.342,106.226,107.07,107.436,108.055,108.633,109.278,109.299,110.585,110.943,111.525,112.023,110.541
91000,New England,3,Current-dollar GDP (millions of current dollars),1024646.9,1036724.2,1050150.9,1059490.8,1070862.9,1084947.1,1096173.9,1101530.8,1118702.8,1130084.1,1142586.1,1151182,1143978.2
92000,Mideast,1,Real GDP (millions of chained 2012 dollars),3186004.5,3183357.3,3206405.5,3225316.7,3235831.9,3257374.5,3274796.3,3266811.3,3299206.2,3311621.4,3321769,3335037.4,3278202.3
92000,Mideast,2,Chain-type quantity indexes for real GDP,106.447,106.358,107.129,107.76,108.112,108.831,109.414,109.147,110.229,110.644,110.983,111.426,109.527
92000,Mideast,3,Current-dollar GDP (millions of current dollars),3499972,3510945.5,3556825.6,3603553.7,3638122.3,3693875,3731562.5,3739493.5,3786088.6,3827030.3,3860094.6,3887641.8,3847859.5
93000,Great Lakes,1,Real GDP (millions of chained 2012 dollars),2408468.3,2415974,2430782.8,2442812.3,2460897.6,2469637.8,2488584.4,2487621,2496255,2503374,2513348.9,2524729.5,2488191.4
93000,Great Lakes,2,Chain-type quantity indexes for real GDP,106.935,107.268,107.926,108.46,109.263,109.651,110.492,110.449,110.833,111.149,111.592,112.097,110.475
93000,Great Lakes,3,Current-dollar GDP (millions of current dollars),2615672.1,2631864.5,2663017.6,2692639.2,2726836.9,2760112.3,2792493.9,2806181,2823072.7,2850256.8,2874941.6,2897899.7,2869615.6
94000,Plains,1,Real GDP (millions of chained 2012 dollars),1129981.3,1133044.1,1132071.8,1138360.6,1148378.5,1159181.9,1164822,1164591.4,1167097.3,1172594.6,1178391.1,1183403.6,1172575.5
94000,Plains,2,Chain-type quantity indexes for real GDP,106.819,107.109,107.017,107.611,108.558,109.58,110.113,110.091,110.328,110.847,111.395,111.869,110.846
94000,Plains,3,Current-dollar GDP (millions of current dollars),1210961.2,1217961.9,1222638.7,1237067.4,1254538.2,1276889.3,1286820.1,1293224.6,1297961.6,1312713.8,1326160.2,1336153,1329587.1
95000,Southeast,1,Real GDP (millions of chained 2012 dollars),3748966.8,3758417,3779796.4,3817395.6,3835143.1,3863870.6,3896812.5,3906472.8,3931804.8,3948003.6,3968738.5,3990829.6,3939664.7
95000,Southeast,2,Chain-type quantity indexes for real GDP,109.266,109.542,110.165,111.261,111.778,112.615,113.575,113.857,114.595,115.067,115.672,116.315,114.824
95000,Southeast,3,Current-dollar GDP (millions of current dollars),4069636.1,4092180.7,4137949.7,4204344,4246722.3,4314911.3,4369330.1,4404272.5,4448171.1,4496408.3,4542751.3,4583466.1,4548107.4
96000,Southwest,1,Real GDP (millions of chained 2012 dollars),2198811.7,2219575.1,2242636.6,2257912.3,2280530.8,2305794.6,2328172.6,2349130.1,2376331.2,2401331.7,2422128.5,2438635.1,2421363.9
96000,Southwest,2,Chain-type quantity indexes for real GDP,113.297,114.367,115.555,116.342,117.508,118.809,119.962,121.042,122.444,123.732,124.804,125.654,124.764
96000,Southwest,3,Current-dollar GDP (millions of current dollars),2224717.9,2251951.7,2289383.5,2336998.3,2387296.3,2439998.8,2481337.4,2506004.5,2518585.5,2555783.2,2575222.6,2603231,2567617.8
97000,Rocky Mountain,1,Real GDP (millions of chained 2012 dollars),623591,630269.8,638538.9,643962.7,646970.1,653669.7,658222.6,662319.4,670565.7,675446.6,679922.8,684334.4,677543.7
97000,Rocky Mountain,2,Chain-type quantity indexes for real GDP,115.385,116.621,118.151,119.155,119.711,120.951,121.793,122.551,124.077,124.98,125.809,126.625,125.368
97000,Rocky Mountain,3,Current-dollar GDP (millions of current dollars),659465.6,668382.6,680260.6,691870.8,700121.1,713632.2,722371.4,729412.2,738616.1,748313,755730.2,763386.8,756428.6
98000,Far West,1,Real GDP (millions of chained 2012 dollars),3511657.2,3556681.1,3600001.9,3654674.4,3679616.3,3730187.4,3754257.8,3780130.7,3807528.3,3827530.9,3848006,3870429.1,3821950.6
98000,Far West,2,Chain-type quantity indexes for real GDP,117.874,119.386,120.84,122.675,123.512,125.21,126.018,126.886,127.806,128.477,129.165,129.917,128.29
98000,Far West,3,Current-dollar GDP (millions of current dollars),3772227.3,3833546.9,3897975.4,3978744.9,4023459.3,4109577.5,4152243.5,4199473.4,4248593.6,4299733.4,4343748.3,4383858.7,4353458.8